year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,17682000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-26-000059,USD,True,5001000000.0,NetIncomeLoss,0000097476-26-000059,USD,True,7153000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-26-000059,USD,True,4550000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-26-000059,USD,True,6023000000.0,OperatingIncomeLoss,0000097476-26-000059,USD,True,543000000.0,InterestAndDebtExpense,0000097476-26-000059,USD,True,709000000.0,IncomeTaxExpenseBenefit,0000097476-26-000059,USD,True,0.124,EffectiveIncomeTaxRateContinuingOperations,0000097476-26-000059,pure,True,5710000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-26-000059,USD,True,3225000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-26-000059,USD,True,1656000000.0,ShortTermInvestments,0000097476-26-000059,USD,True,14048000000.0,LongTermDebt,0000097476-26-000059,USD,True,500000000.0,LongTermDebtCurrent,0000097476-26-000059,USD,True,13548000000.0,LongTermDebtNoncurrent,0000097476-26-000059,USD,True,16273000000.0,StockholdersEquity,0000097476-26-000059,USD,True,4881000000.0,14048000000.0,2603000000.0,0.12416812609457092,25440000000.0,5275135376.532399,0.20735595033539306,6023000000.0,False,0.1472118538626852,0.520495900819836,True,True,TXN,0000097476,ticker:TXN,24
2024,15641000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-25-000007,USD,True,4799000000.0,NetIncomeLoss,0000097476-25-000007,USD,True,6318000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-25-000007,USD,True,4820000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-25-000007,USD,True,5465000000.0,OperatingIncomeLoss,0000097476-25-000007,USD,True,508000000.0,InterestAndDebtExpense,0000097476-25-000007,USD,True,654000000.0,IncomeTaxExpenseBenefit,0000097476-25-000007,USD,True,0.12,EffectiveIncomeTaxRateContinuingOperations,0000097476-25-000007,pure,True,5453000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-25-000007,USD,True,3200000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-25-000007,USD,True,4380000000.0,ShortTermInvestments,0000097476-25-000007,USD,True,13596000000.0,LongTermDebt,0000097476-25-000007,USD,True,750000000.0,LongTermDebtCurrent,0000097476-25-000007,USD,True,12846000000.0,LongTermDebtNoncurrent,0000097476-25-000007,USD,True,16903000000.0,StockholdersEquity,0000097476-25-000007,USD,True,7580000000.0,13596000000.0,1498000000.0,0.11993398129470016,22919000000.0,4809560792.224463,0.20985037707685603,5465000000.0,False,0.0957739274982418,0.31214836424255055,True,True,TXN,0000097476,ticker:TXN,24
2023,17519000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-24-000007,USD,True,6510000000.0,NetIncomeLoss,0000097476-24-000007,USD,True,6420000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-24-000007,USD,True,5071000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-24-000007,USD,True,7331000000.0,OperatingIncomeLoss,0000097476-24-000007,USD,True,353000000.0,InterestAndDebtExpense,0000097476-24-000007,USD,True,908000000.0,IncomeTaxExpenseBenefit,0000097476-24-000007,USD,True,0.122,EffectiveIncomeTaxRateContinuingOperations,0000097476-24-000007,pure,True,7418000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-24-000007,USD,True,2964000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-24-000007,USD,True,5611000000.0,ShortTermInvestments,0000097476-24-000007,USD,True,11223000000.0,LongTermDebt,0000097476-24-000007,USD,True,599000000.0,LongTermDebtCurrent,0000097476-24-000007,USD,True,10624000000.0,LongTermDebtNoncurrent,0000097476-24-000007,USD,True,16897000000.0,StockholdersEquity,0000097476-24-000007,USD,True,8575000000.0,11223000000.0,1349000000.0,0.12240496090590455,19545000000.0,6433649231.598813,0.32917110420050205,7331000000.0,False,0.07700211199269365,0.20721966205837172,True,True,TXN,0000097476,ticker:TXN,24
2022,20028000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-23-000007,USD,True,8749000000.0,NetIncomeLoss,0000097476-23-000007,USD,True,8720000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-23-000007,USD,True,2797000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-23-000007,USD,True,10140000000.0,OperatingIncomeLoss,0000097476-23-000007,USD,True,214000000.0,InterestAndDebtExpense,0000097476-23-000007,USD,True,1283000000.0,IncomeTaxExpenseBenefit,0000097476-23-000007,USD,True,0.128,EffectiveIncomeTaxRateContinuingOperations,0000097476-23-000007,pure,True,10032000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-23-000007,USD,True,3050000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-23-000007,USD,True,6017000000.0,ShortTermInvestments,0000097476-23-000007,USD,True,8735000000.0,LongTermDebt,0000097476-23-000007,USD,True,500000000.0,LongTermDebtCurrent,0000097476-23-000007,USD,True,8235000000.0,LongTermDebtNoncurrent,0000097476-23-000007,USD,True,14577000000.0,StockholdersEquity,0000097476-23-000007,USD,True,9067000000.0,8735000000.0,5923000000.0,0.12789074960127592,14245000000.0,8843187799.043062,0.6207924042852273,10140000000.0,False,0.2957359696425005,0.6769916561892788,True,True,TXN,0000097476,ticker:TXN,24
2021,18344000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-22-000009,USD,True,7769000000.0,NetIncomeLoss,0000097476-22-000009,USD,True,8756000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-22-000009,USD,True,2462000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-22-000009,USD,True,8960000000.0,OperatingIncomeLoss,0000097476-22-000009,USD,True,184000000.0,InterestAndDebtExpense,0000097476-22-000009,USD,True,1150000000.0,IncomeTaxExpenseBenefit,0000097476-22-000009,USD,True,0.129,EffectiveIncomeTaxRateContinuingOperations,0000097476-22-000009,pure,True,8919000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-22-000009,USD,True,4631000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-22-000009,USD,True,5108000000.0,ShortTermInvestments,0000097476-22-000009,USD,True,7741000000.0,LongTermDebt,0000097476-22-000009,USD,True,500000000.0,LongTermDebtCurrent,0000097476-22-000009,USD,True,7241000000.0,LongTermDebtNoncurrent,0000097476-22-000009,USD,True,13333000000.0,StockholdersEquity,0000097476-22-000009,USD,True,9739000000.0,7741000000.0,6294000000.0,0.12893822177374145,11335000000.0,7804713532.907276,0.6885499367364161,8960000000.0,False,0.34310946358482336,0.8101428755309563,True,True,TXN,0000097476,ticker:TXN,24
2020,14461000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-21-000006,USD,True,5595000000.0,NetIncomeLoss,0000097476-21-000006,USD,True,6139000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-21-000006,USD,True,649000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-21-000006,USD,True,5894000000.0,OperatingIncomeLoss,0000097476-21-000006,USD,True,190000000.0,InterestAndDebtExpense,0000097476-21-000006,USD,True,422000000.0,IncomeTaxExpenseBenefit,0000097476-21-000006,USD,True,0.07,EffectiveIncomeTaxRateContinuingOperations,0000097476-21-000006,pure,True,6017000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-21-000006,USD,True,3107000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-21-000006,USD,True,3461000000.0,ShortTermInvestments,0000097476-21-000006,USD,True,6798000000.0,LongTermDebt,0000097476-21-000006,USD,True,550000000.0,LongTermDebtCurrent,0000097476-21-000006,USD,True,6248000000.0,LongTermDebtNoncurrent,0000097476-21-000006,USD,True,9187000000.0,StockholdersEquity,0000097476-21-000006,USD,True,6568000000.0,6798000000.0,5490000000.0,0.07013461858068805,9417000000.0,5480626558.085424,0.5819928382802829,5894000000.0,False,0.37964179517322455,0.9812332439678284,True,True,TXN,0000097476,ticker:TXN,24
2019,14383000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000097476-20-000009,USD,True,5017000000.0,NetIncomeLoss,0000097476-20-000009,USD,True,6649000000.0,NetCashProvidedByUsedInOperatingActivities,0000097476-20-000009,USD,True,847000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097476-20-000009,USD,True,5723000000.0,OperatingIncomeLoss,0000097476-20-000009,USD,True,170000000.0,InterestAndDebtExpense,0000097476-20-000009,USD,True,711000000.0,IncomeTaxExpenseBenefit,0000097476-20-000009,USD,True,0.124,EffectiveIncomeTaxRateContinuingOperations,0000097476-20-000009,pure,True,5728000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097476-20-000009,USD,True,2437000000.0,CashAndCashEquivalentsAtCarryingValue,0000097476-20-000009,USD,True,2950000000.0,ShortTermInvestments,0000097476-20-000009,USD,True,5803000000.0,LongTermDebt,0000097476-20-000009,USD,True,500000000.0,LongTermDebtCurrent,0000097476-20-000009,USD,True,5303000000.0,LongTermDebtNoncurrent,0000097476-20-000009,USD,True,8907000000.0,StockholdersEquity,0000097476-20-000009,USD,True,5387000000.0,5803000000.0,5802000000.0,0.12412709497206705,9323000000.0,5012620635.47486,0.5376617650407444,5723000000.0,False,0.4033928943892095,1.1564680087701813,True,True,TXN,0000097476,ticker:TXN,24
2018,15784000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-19-003839,USD,True,5580000000.0,NetIncomeLoss,0001564590-19-003839,USD,True,7189000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-003839,USD,True,1131000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-19-003839,USD,True,6713000000.0,OperatingIncomeLoss,0001564590-19-003839,USD,True,125000000.0,InterestAndDebtExpense,0001564590-19-003839,USD,True,1106000000.0,IncomeTaxExpenseBenefit,0001564590-19-003839,USD,True,0.165,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-003839,pure,True,6686000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-19-003839,USD,True,2438000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-003839,USD,True,1795000000.0,ShortTermInvestments,0001564590-19-003839,USD,True,5068000000.0,LongTermDebt,0001564590-19-003839,USD,True,749000000.0,LongTermDebtCurrent,0001564590-19-003839,USD,True,4319000000.0,LongTermDebtNoncurrent,0001564590-19-003839,USD,True,8994000000.0,StockholdersEquity,0001564590-19-003839,USD,True,4233000000.0,5068000000.0,6058000000.0,0.16542028118456475,9829000000.0,5602533652.408017,0.5700003715950775,6713000000.0,False,0.38380638621388746,1.085663082437276,True,True,TXN,0000097476,ticker:TXN,24
2017,14961000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-18-002832,USD,True,3682000000.0,NetIncomeLoss,0001564590-18-002832,USD,True,,,,,False,695000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-18-002832,USD,True,6083000000.0,OperatingIncomeLoss,0001564590-18-002832,USD,True,78000000.0,InterestAndDebtExpense,0001564590-18-002832,USD,True,2398000000.0,IncomeTaxExpenseBenefit,0001564590-18-002832,USD,True,0.394,EffectiveIncomeTaxRateContinuingOperations,0001564590-18-002832,pure,True,6080000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-18-002832,USD,True,1656000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-18-002832,USD,True,2813000000.0,ShortTermInvestments,0001564590-18-002832,USD,True,4077000000.0,LongTermDebt,0001564590-18-002832,USD,True,500000000.0,LongTermDebtCurrent,0001564590-18-002832,USD,True,3577000000.0,LongTermDebtNoncurrent,0001564590-18-002832,USD,True,10337000000.0,StockholdersEquity,0001564590-18-002832,USD,True,4469000000.0,4077000000.0,,0.3944078947368421,9945000000.0,3683816776.315789,0.3704189820327591,6083000000.0,False,,,True,False,TXN,0000097476,ticker:TXN,24
2016,13370000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-17-002142,USD,True,3595000000.0,NetIncomeLoss,0001564590-17-002142,USD,True,,,,,False,531000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-17-002142,USD,True,4799000000.0,OperatingIncomeLoss,0001564590-17-002142,USD,True,80000000.0,InterestAndDebtExpense,0001564590-17-002142,USD,True,1335000000.0,IncomeTaxExpenseBenefit,0001564590-17-002142,USD,True,0.271,EffectiveIncomeTaxRateContinuingOperations,0001564590-17-002142,pure,True,4930000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-17-002142,USD,True,1154000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-17-002142,USD,True,2336000000.0,ShortTermInvestments,0001564590-17-002142,USD,True,3609000000.0,LongTermDebt,0001564590-17-002142,USD,True,631000000.0,LongTermDebtCurrent,0001564590-17-002142,USD,True,2978000000.0,LongTermDebtNoncurrent,0001564590-17-002142,USD,True,10473000000.0,StockholdersEquity,0001564590-17-002142,USD,True,3490000000.0,3609000000.0,,0.27079107505070993,10592000000.0,3499473630.8316436,0.3303883714909029,4799000000.0,False,,,True,False,TXN,0000097476,ticker:TXN,24
